Stance,Tweet
0,marriage is about the coming together of two people &amp; two families
-1,Solidarity with all at the counter #rally4life - Ireland won't be equal until women have full control of our bodies
-1,best approach to reach abortion advocates! @ncregister @pattiarmstrong #prolife @amerlifeleague
0,"good day! my most recent #painting - ""promises"" - #lovewins #trees #nature #original #art by erin price"
0,.@senjudiciary committee chairman @chuckgrassley made the following statement after a meeting at the @whitehouse on the #scotus vacancy.
1,RT @gbforchoice: When is abortion a responsible choice? When a woman chooses it to be
1,"suspension hopefully, that's disgusting"
1,today a&amp;b launch a campaign to fund taking #abortionrights for women from #ni to the ecthr
-1,"#yourchoice ""i have set before you life &amp; death, blessing &amp; cursing: #chooselife that you may live."" deuteronomy 30:19 dr gs linton plz rt"
-1,Gets rid of a daughter and pretends she never existed. #ParentTrapPlot or
1,yall praising casey affleck bc he threw shade on trump and wore a tshirt? i guess we're gonna ignore his sexual assault then!
0,#lovewins over and over and over and over and over
-1,meanwhile across the country women &amp; families #chooselife @1lifela @larespectlife @catholicsfollow @realdonaldtrump
0,how cute are they??!?!
-1,dr. joseph graham fellows at !
-1,"Natural family planning isn't ""planning"" at all since it just doesn't work."
0,that time justice scalia smoked a pipe during his #scotus confirmation hearing. confirmed 98-0.
-1,@BruvverEccles @Telegraph @David_Cameron I despair! I want grandchildren or are they a 'luxury item'
0,oral arguments for lee v. tam are today! i reviewed some amicus briefs in the case here:
1,trump has set a disastrous course for women’s health &amp; #reprorights: @jessicavalenti
-1,not as good as the first one but really enjoyed #trainspotting2 - it got me thinking about a lot of things #chooselife @omniplexd6
1,"very pertinent message by @joebiden esp2 #youngmen against #sexualassault, ending #rapeculture, stop #lockerroomtalk &amp; act 2makethishappen"
0,high-res periscope from outside
-1,“anyone who loves peace cannot tolerate attacks and crimes against life.”
-1,@Independent_ie No one has 5he right to tell any person what they should do with their body
-1,the generation marched at the #rallyforlife in dublin.
-1,thank you @students4lifehq for your tireless work. congrats on 10 yrs of incredible achievements
-1,"In #scotus majority opinion, substitute abortion for capital punishment, and you have the opinion for the Texas clinic case."
1,. @sinnfeinireland @moneillsf talking abt denial of rights. will you bring policy for #reprorights and #trustwomen in future?
0,#godfirst #friendssecond and then everything else will follow. …
0,"left: #scotus cafeteria—no dr pepper right: @reagan_library cafeteria—dr pepper mr. chief justice, tear down this wall!"
-1,anyway. how about a palette cleanser? because our goobers are the best goobers
0,"""dave is proud of me, and he’s happy to be doing what he believes god has asked him to do."""
0,your voice shouldn't depend on the size of your wallet—or the color of your skin. trump's #scotus pick disagrees.
-1,"If you don't want your kid, put it up for adoption."
0,"44 yrs ago today, #scotus affirmed right to privacy extends to woman's reproductive decisions. #roevwade is under siege. let's protect it."
0,tune in at 11:11 pst for the premier of love letters to god. #lovewins @josue_foto
0,"remember january 23rd is the important, ancient, albeit forgotten #weddinganniversary #marriage of the #blessedvirginmary &amp;"
0,adf asks #scotus to halt california law forcing pro-life centers to promote abortion
0,gorsuch's dissent an amateurish effort to justify anti-gay discrimination. #scotus @naacp_ldf via @slateoutward
0,#FF #Patriot --> PigsWalkUpright. Thanks 4 following back!!
0,wife: you pick dinner me: burger wife: no me: tacos wife: no me: subs wife: no. me: what do you want wife: it's up to you
-1,some great coverage @bbcscotlandnews covering @lomondtrossachs @bbccountryfile
1,"chancellor: ""i hope the house will find that a sensible way of dealing with this challenge."""
0,visit
0,"if they can't see how incredible you are, they are blind and foolish. don't let them lies mark you. forgive fast. love hard. #lovewins xo"
1,"so #trumpinsaudi signed a ""joint vision""; is that?"
-1,Can we make sure #lovewins for babies too? Or nah...
0,just had a wonder dinner with @jimobergefell at @barcelonawineba. thank you for the book and the amazing work you do.
0,mt @cleverfounder: confirm gorsuch @senatedems! judge with stellar record. #scotus asset!
0,"not false. filling a #scotus vacancy was a responsibility, not a campaign promise kept."
0,@topshop looking super pretty in the sunshine today!
-1,@AMLiveNTV: its morally wrong. Life is sacred and only the giver and its onlyHim alone that should take it#HaveYourSay is on
-1,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS!"
-1,@sinnfeinireland SinnFein voted to kill unborn sick children
-1,"thank you, !"
0,i gave rachel the sad puppy eyes and now we're binge watching legend of korra from the first season.
0,i am human. rt to spread the love.
0,every page represents a grant of power to the federal government.
0,wonderful and emotional day in ryde for the first ever isle of wight pride @iwpride
0,for dorothy mary and katherine. #hiddenfigures thank you sag/aftra
1,"defense says that the #rockvillerape was “consensual"" so where’s"
1,so much for law and order in trump's america.
-1,good morning! may every morning make you want to get up and live.
0,no matter what- these faces inspire me every day. may they also inspire you. they're gonna change the world.
-1,@Jizismyname can't wait to see you on @heyqweentv IsMyName
0,Today is a great because we are alive.
0,@MetalheadMonty @tom_six I followed him before I watched human centipede 3.....i now hope never makes another film again
0,.@dahlialithwick on how #democrats can play hardball with trump’s #scotus nominee. cc @senschumer via @slate
0,icymi: #scotus wraps up ot 2016 oral arguments | bloomberg bna
-1,",@CoraSherlock When is Ms C case you've been promising happening? When'll a court be asked adjudicate her claims?"
0,@MeghanMcCain so because #SCOTUS ruled fors you think everyone just threw their hands up and supported
-1,*when someone says abortion is okay*
0,congratulations to shotaro akehira for making it to the grand finals and winning 8th best adjudicator for ateneo debate open 2017
0,"j. kennedy tells october 2018 clerkship applicants he’s considering retirement, right before 2018 midterms"
0,look who i spotted in this months @divamagazine the incredible @victoriabroom and @todivalentino ‍‍
-1,17-year-old brittany benz is standing up for the voiceless today at the #marchforlife in d.c. - this is the
1,People who have never had an abortion can be prochoice. People with a uterus can be prochoice. People who never want kids can be
1,"""the state is complicit in this policy of disregarding women's lives"" whrd regina fonseca on #reprorights in #honduras &amp;"
1,#breaking: @speakerryan announces plans to defund planned parenthood #istandwithpp #reprorights @ppact
0,"alright february, i see you coming: i'm ready."
1,abortion doulas are here to support you.
0,"skip glitter, take ashes, like #motherteresa would!"
-1,what’s the #prolifegen doing this weekend? protesting pp!
0,us army interpreter nayyef hrebid &amp; iraqi soldier btoo allami fell in love at the height of the iraq war.
1,@nosilentsprings And an even worse place from which to make medical decisions FOR OTHER PEOPLE
0,"@tophersotir @danscavino @potus @realdonaldtrump umm #travelban fires up today, by way of #scotus pick, healthcare close taxes close behind, isis toast take off the blue glasses buddy."
0,".@senatemajldr ""accomplishments"": 1.stole #scotus slot 2.treason 3.about to steal healthcare"
0,a grown-up #romcom starting where most end - with #marriage and #motherhood #mailonsunday #bookreview @ipsobooks
-1,mt @karee_news: you can do something try to touch hardened hearts and
-1,thank you @students4lifehq for your help with our table this morning! we had so much fun at your 10 year anniversary last week!
0,@noellenikpour i really don't care much about #100days. i am looking forward to 8 years of @potus to maga. now we need another #scotus appt.
0,@leahr77 i love all this #winning. #scotus here we come!
0,@potus we go over this everyday. it's spelled g-a-r-l-a-n-d. garland.
1,justice that isn't intersectional isn't justice at all.
-1,@abelitomiranda ...about the millions of aborted children? Lets fix this too
1,“keep those pink hats handy. we’re going to need them.” the war on #reprorights has only just begun: @jessicavalenti
1,BRAVO TO BOTH OF YOU BEAUTIFULLY EXPLAINED HOLD UP #humantrafficking bill @SenBlumenthal @DickDurbin
1,unacceptable! verbal diarrhea from #congress members does untold damage! this is
-1,"During an abortion, something alive must become dead to be considered a successful abortion..."
-1,@k8write95: 1/3 of my generation is missing. And it can't be changed. But we can change the future.
-1,"if this doesn't convince you that #popefrancis is a fraud, nothing will."
0,Too far? Sorry so is he
-1,The government has given no explanation of why the law was changed
-1,anche lana adora bobby can. not. wait. for. this! #t2trainspotting #chooselife robert carlyle ewan mcgregor...
0,perfect #marriage of #science n #nature: formulated in2
-1,we open #trainspottinglive at the famous @leadmill in sheffield tonight!
1,single payer would be disastrous for #reprorights. seriously stop trying to make single payer happen. there are other ways to uhc
-1,"#rally4life Motherhood is for some much-wanted,for others it is not.It should be by choice, not by force. Respect women's choices"
0,"if peter dutton is pushing a #postalplebiscite you can be sure the hard right think they can game the system to skew to a ""no"""
-1,this has to be the new introductory sequence to trainspotting
-1,Let's agree that it's not ok to kill a 7lbs baby in the uterus @DWStweets #DNC #Clinton2016 @HillaryforIA
-1,Abortion is not contraception. Contraception is about preventing pregnancy. Abortion is terminating a life.
-1,"I feel the greatest destroyer of peace today is 'Abortion',... Mother Teresa"
-1,"mt @prolifeyouth ""i believe in speaking out against abortion since the victims cannot speak for themselves."" gen"
0,this is so true am i right ladies ring by spring as a woman my only purpose is #marriage u boys have fun i'll be in the kitchen 🤰
1,"ivanka trump, women can't be empowered w/o reproductive health care access &amp; bodily autonomy."
-1,amazing pro-life high school students stand up to planned parenthood clinic in their school
0,"big crowd on steps of #scotus for congressional dems refugee rally. members arrived singing ""this land is your land."""
1,americans do not want a #scotus justice who will attack #reprorights &amp; enshrine trump’s extreme agenda. !
1,don't think #rapeculture is a real thing? look no further than to the mental drivel which secretes from miscreants like this:
0,"i highly recommend ""scalia: portrait of a man and jurist."" one of the best #scotus documentaries in recent years."
-1,When Laws are passed by SCOTUS that defy a Gods laws it is always the children who suffer. God bless the children.
-1,"@ppact @repkevincramer mr. cramer, as a north dakotan, i urge you to support defunding planned parenthood and to protect the unborn!."
0,where rubber hits the road re: #scotus is when @realdoanldtramp #potus45 is called upon to replace one of the 4 liberals. not #scalia seat
-1,aborted quadruplet babies die with their arms around each other !
-1,choose life.
1,"when #reprorights are under attack, what do we do? stand-up comedy &amp; fight back! tix &amp; info for chicago (&amp; beyond!):"
-1,If #BlackLivesMatter why not black babies in the womb? Somehow their lives don't matter.... puzzled with that one.
0,.@potus could and should (and i pray will) put merrick garland onto #scotus during ‘intersession recess’ tomorrow.
1,"how to educate about abortion: a guide for peer educators, trainers and teachers: @ippf"
-1,"""choose life."""
-1,So mint! Listening to @GlennBeck LIVE & he s talking about #MargaretSanger being total Evil. Even if you're pro- !
1,bam! ogrizek nails it!! feminism needs to talk about responsibility — not just rights via @quillettem
-1,help oregon life united protect mothers and pre-born children by donating today: - -
0,#felicityjones to portray #scotus justice #ruthbaderginsburg in new film.
-1,where is the democrats permanent outrage over innocent children being ripped apart by abortion?
1,"@SuePalmers @LSDsr Nothing to do with me. It's not my choice, nor is it yours, to dictate what another woman chooses."
-1,your body is your god given kingdom...used to show god if you are a good or bad ruler
-1,@usweekly I doubt she was clothed with anything when that pregnancy occurred.
-1,"The point is BODILY AUTONOMY. A born child can rely on other people, and can LIVE by itself"
-1,"Why would a mother advice her daughter to abort?? Shame, responsibility, but truly is that the best advice??"
1,over 2 dozen senators cited #gorsuch's troubling record on #reprorights as a reason they couldn't vote for his confirmation.
-1,"mt @liveaction ""one of the best pro-life signs that we've ever seen!"""
0,Girls don't want boys. Girls want
-1,only 3 shows left @brightonfringe get on it before it's too late.
1,"Sadly, most health insurance plans don't cover abortions, so the price can be quite high...."
0,131 necessary conversations before marriage is #99cents for a limited time: it's a #marriage &amp;
-1,on way home after seeing #t2trainspotting again. and before you ask..... yes...i'm obsessed
0,we can do better.
-1,"I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure"
0,more some #pridelondon2017 today... so much love everywhere. incredible atmosphere! ‍
-1,The right to #choose? Thats a #lie! #babies don't choose to #die! Prolifeyouthgen
0,"the president has narrowed his #scotus shortlist down to 4. stay tuned to see who gets the ""final gavel™."" period."
0,first gay #muslim wedding takes place in the uk
-1,mt @awakedeborah: fearfully and wonderfully made! by god.
0,daily post: is #scotus on the verge of providing the nation with a much better standard for special education? whoa.
1,people should have to pass tests to legislate. if they don't understand biology they shouldn't be allow to vote on
-1,"Plenty of stem cells without baby smashing, by the way."
1,men should feel the chill of fear via @youtube kangaroos are coming soon to a courtroom near you
1,"neil gorsuch represents an existential threat to #reprorights, civil rights, workers’ rights &amp; #lgbtq rights. #stopgorsuch @sencorygardner"
1,our body. our choice. let's flood congress with phone calls now!
0,"@charlescwcooke @HillaryClinton Once they're born, that is."
0,#trump thanks #scalia's widow for attending after touting his #scotus pick and b4 asking 4 such pick to be confirmed quickly.
1,1 in 4 women. it's not clothing's fault! #rapeculture @yesalldaughters @slutwalkseattle
1,in albany we're wearing pink and talking to electeds to let them know we need them to stand for
1,how do you call out #rapeculture in your everyday life? #everydaygenderactivist #humanrightstweets (giphy)
-1,if there is no justice for the unborn; there is no justice anywhere.
0,the wedding ring and why i don’t wear mine do you wear yours? @marriageisfab
0,Undergirding every important issue today is this: what is truth?
1,Happy to hear the #SCOTUS blocked closing of 10 abortion clinics in TX until an appeal can be heard
-1,RT @rob_mcarthur: @JustinTrudeau try joining the millions of slaughtered unborn CHILDREN robbed of their right to choose.
1,"Breda O'Brien strikes again, why can't people just allow the woman who is carrying the 'child' to make her own decisions"
1,.@alidreith explains that missouri is *already* the third most restrictive state in the nation when it comes .
1,plz sign/share/rt open letter 2 dnc stating it's not ok to throw #women's #reprorights under the bus!
0,"if this can't be done, we can't date"
-1,@ConnectCatholic The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness
-1,"Why do you cry when a dog dies in a movie, but it doesn't seem to phase you that so many babies die because of abortion?"
-1,a leftist friend from college said i used to be open minded-meaning either i used to agree with her or i had no convictions then
-1,mt @karee_news: you can do something try to touch hardened hearts and
1,"""the phrase ['real men don’t rape'] ultimately harms survivors &amp; reinforces ."""
-1,"if we can accept that a mother can kill even her own child, how can we tell other people not to kill one another?"
-1,Dear America: If only a 3D ultrasound picture could evoke the same emotional response.
0,the left's trouble history with #scotus continues ↓
0,"RT @Singerman2000: Government has exceeded its necessary size, scope and reach into the lives of its citizens. ..."
-1,"if we don't allow god to wipe away the sin from our lives, our sins will wipe away our desire to hv god in our lives. #chooselife &amp; freedom."
0,this am at @umainelaw i called for a #scotus justice who'll uphold check &amp; balance on exec branch. full statement:
0,dads who didn’t want the d**n dogs in their lives seen this happen more than once.
0,#nastywoman #lovewins #girlgang love doing images for @jen_loiselle
-1,"when the most exciting moments in your life is going to the supermarket to buy hummus, you definitely need some changes..."
-1,did senator dianne feinstein accidentally admit that abortion takes human life?
-1,"Compromising on #sin gets easier as time goes on. Oh yeah, it didn't just start! #sexual-impurity"
0,i made a very special message for mama theresa on our 66th wedding anniversary! don't miss this word on :
-1,#stemacademy administrator on leave for screaming at #prolife teen
0,go ahead &amp; click that subscribe button if y'all tryna follow our journey on youtube
-1,a letter to people of #life! rt by #lawrencefox gen youth
0,"Is there a gas that increases self-mutilation (tattoos, piercing, drugging, over-eating, & suicide) & violence?"
-1,@ppfa you may have won but the #prolifegen is coming!
0,@GolfProYYC every time @TaylorMadeGolf pops up I think its you posting.
0,#nastywomenproject agrees with .@senduckworth that geniality is nice but unnecessary in #scotus appointee. artful dodging gets a hell no.
0,profoundly #american values- honesty loyalty justice sportsmanship . thankyou chiefjusticeroberts #scotus god bless america
1,"as a dr &amp; gov, i will stand up to @realdonaldtrump &amp; gop from throwing thousands of virginians off their healthcare &amp; restrict"
0,"new podcast out,featuring prof.richard middleton on the changing landscape of us #immigration law:"
0,we must do better. → social science clearly shows children do best when raised by a married mom &amp; dad.
0,"i'm sorry everyone, but your wives will never be as funny as mine."
-1,RT @NYS4Life: RT if you're ready to help us defeat #AssistedSuicidelike we defeated !
-1,so thankful to have been a part of something so great
-1,"first you make your choices, then your choices make you."
0,hurry for your best #newyear! get the #gift of #love 75% #savings to 31/12
-1,woke up to this awesome review! #thankyou felicia!
0,"if democrats filibuster #scotus nominee, @realdonaldtrump tells @seanhannity he would want @senatemajldr to use the nuclear option:"
0,"icymi: ""the legacy of eighteenth-century wife beating,"" by @jo_mcewan_"
1,thanks to everyone who came to our panel on #reprorights and #womenshealth. we still have a lot of work to do in ny!
0,chief justice roberts issued a statement suggesting the case could still come back to the justices later after a final ruling below.
0,smart. keeps her free to be a possible #scotus nominee once rbg retires
0,both sides of trans student's case agree: #scotus should resolve title ix question. here's gg's letter:
-1,"#prolife leaders ‘sock it’ to #plannedparenthood with 196,543 baby socks"
0,.@potus's order on #immigration will go into partial effect tonight at 8 et. more on the order &amp; #scotus ruling:
1,#abortion still carries a #lifesentence in n.ireland - #criminalisation over healthcare @gorettihorgan
1,a2: the normalization of sexual violence perpetuates stigma and fuels
1,"if you're a vegetarian you don't eat meat, but you don't demand that meat is taken off all the menus."
-1,join with @students4lifehq's campaign to #defundpp! gen
-1,mt @karee_news: you can do something try to touch hardened hearts and
1,51 members of congress are asking @potus to issue an order legalizing discrimination &amp; restricting
-1,I'll celebrate #IndependenceDay when EVERYONE in this country is equally free & not living in fear & poverty!
1,letters from #women seeking #abortions in 1917 vs 2017 are shockingly similar @elleuk
0,when gay couples can finally adopt
0,love always wins #nikpas #marriage #love @bettinazagnoli @filippala pascal_horbach @ sala…
0,"watch ""the big life show"" • why #marriage should be a 2-year renewable contract"
1,"@politicallymine @cassandra0612 unicorn is defined a ""mythical."" do you see that anywhere in the #rapeculture definition?"
1,rape culture in the christian church - our latest blog from linguist @vhobbs5
0,RT @FrCharles: .@giannaberettamo @GiaMolla @sphcs_news Happy feast of St. Gianna Beretta Molla! May she pray for us!
-1,pro-abortion protestor puts her sign down &amp; picks up a #prolife one. here's why.
1,advocating with fellow physicians 4 health care for all. @cirseiu
1,these elected officials cast votes to help women on all bills voted on in their respective chambers. thank you!
0,"senate dems don’t even know who trump’s #scotus pick will be, but they will be filibustering him/her"
0,@unitesouthwest ready to go at @wsm_pride party at grove park. come &amp; join us @unitesouthwest
1,what it’s like to be a jew of color—and a #reprorights activist—in the trump era
1,"You can't give the ""death penalty"" to something not living sentient or autonomous"
0,i wonder if people who voted for you instead of hillary realize how they nearly jeopardized the fate of a nation.
0,"good nuts &amp; bolts #scotus brief style guide from dan schweitzer of @natlassnattysgn, who has seen a brief or two."
1,i'm all for unity. i'm not for unity at the cost of going backwards on #reprorights as a core tenet of progressive values.
-1,"this mom no longer sleeps on the trains, thanks to good counsel homes!"
-1,"Equal rights for those 'born that way', no rights for those not yet born."
-1,mt @marylene58: so beautiful and angelic. please .
0,"@vipernthetemple @jaredotexas @realdonaldtrump @barackobama this. also, #neverhillary. we wouldn't have gotten a solid #scotus pick."
0,"with just 1,373 days until americans vote in the 2020 election,responsible thing to do is wait until then to consider any #scotus nominee-jk"
1,so excited that women deliver will be among the participants in brussels supporting a woman's right to choose!
0,"#scotus move is latest in years-long battle over law which plaintiffs say discriminated against black, latino voters"
1,here's some tips on rape prevention - maybe you should read and take note ched evans. #chedevans culture
0,#lovewins not long now! attend the first @iwpride and find us at the event #beach #colouredsands #merchandise @alum_bay @visitiow
0,donald trump would favor 'nuclear option' if democrats filibuster supreme court pick
0,supreme court blocks virginia districts over use of race via @usatoday
0,"awesome article about #marriage with a #chronicillness! ""when you say i do"""
-1,"We all have a duty to protect the sanctity of life...from the first cell division, to the last."
0,"later today, i’ll stand with @nancypelosi and many colleagues on the steps of #scotus to oppose the refugee ban."
-1,mt @patrioticgirl86: the greatest destroyer of love and peace is abortion.
1,jesus christ this is disgusting.
-1,MathewsJeanne Thank you 4 your very #kind RT. God Bless You #Patriot. #babies matter
-1,It is not progressive to try to resolve problems by eliminating a human life. -
1,"we’re ready to stand up for #reprorights, immigration &amp; #lgbtq rights. are you with us?"
0,is your #marriage in a slump? revive your bond with iou’s “strengthen the knot”
0,make way for .
1,"this judge's idea of a ""classic rapist"" is horrific."
-1,Pro-Choice is meaningless. Say what you mean. You stand for the right to choose to kill.
1,"republicans shouldn't be defunding #plannedparenthood, they should be thanking them."
-1,pope offers prayers for charlie gard and his parents as legal challenge ends:
0,"#SupremeCourt is on a roll this week, did they just discover #coffee or something??"
0,Spent the WHOLE day on my highlight film from my Israel trip...I'll post the link and Instagram the link to it
1,"while today's hearing is a milestone for the senate, i will not rest until ri's law ensures access to #reprorights. #rhca2017 @gaylegoldin"
-1,new guttmacher study shows abortion numbers hit historic low in 2014:
-1,It's time to be a #voice for the #voiceless. Stand up for the !
0,thank you mr. #potus for recognizing antonin's widow maureen.
-1,"if you find yourself facing an #unplanned #pregnancy in 2017, don't lose heart, the #best is yet to come."
1,"we’re expecting a couple good, pro-#reprorights bills at the #txlege next week! join us in supporting them here:"
-1,"Why would I want to make choices about my own body, when a congressman could do it for me?"
-1,thank you to @vp @mike_pence for defending the unborn in the #marchforlife2017. together we can speak for those who cannot.
1,"A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more"
-1,happiness is acceptance.
0,finland's parliament confirms same-sex marriage law via @huffpostuk
-1,tips for first-time #marchforlife participants --&gt;&gt;
-1,it was such a privilege to join with these epic young people in madrid for the 1st congress by @masvidaeu!!!
-1,happy national pro-life chalk day
-1,already sold out 5/10 shows @themacbelfast for #trainspottinglive with limited availability on the rest! #chooselife belfast!
0,tips for becoming more patient with your #spouse to create a happier
-1,@thegmcollector happiness is receiving my #georgemichael jive talkin' cd today! thank you!
1,cop a squat next to @mehranx and get into today's !
0,If you believe in its power; then pray.
-1,trainspotting
1,we are going to keep fighting for women and families. we will always fight for #reprorights. and we #wontbackdown. @realdonaldtrump
-1,“every one of you is born as such a time for this…set the world on fire!” @reggielittlejhn at cardinal o'connor conference
-1,#Florida AttorneyGeneralBondi files appeal after Judge grants ACLU request to temporarily halt new law requiring 24hr wait before
0,Good Friday morning #patriots. Make it ur best one ever. #Smile all day long.
-1,thank you for standing with #maddirunkles @pynance!
0,rt @popupprotests @vp @mtnmd @riotwomennn @teapainusa mission #1 of 2017: get garland in on jan 3 as #scotus! please re-tweet!!!
1,#rapeculture barbara kay: betsy devos’ an excellent pick for secretary of education via @fullcomment
0,"@StAlbertCIVC do you have influence on policy on how the info is presented as a whole, given that you are listed as a Partner."
-1,"pregnant at 16, i rejected abortion — today, i have no regrets:"
-1,"#chooselife choose life is trending, how cool is that?"
0,love!
1,#rapejihad in #sweden isn't funny! it's a crisis &amp; should be treated as such.
0, #prophetic #relationship and #marriage scope
-1,the #left claims the future is female while they #standwithpp and kill 450 girls a day
0,"adf is a prominent group behind discriminatory ""religious freedom"" laws, notably the bakery case headed to ."
1,"these women will be powerful champions for women, families, and ."
1,every body deserves reproductive freedom! important &amp; beautiful art by @repealhydeartpr on
1,i'm just gonna leave this riiight here
0,.@periscopeco insanely proud of the whole #periscope team &amp; super honoured to be part of this true global !
-1,WH: Motherhood's a Wage Penalty. So we pay em to have kids & we pay em to kill premature babies. WTF's point here libs?
0,"we're 7 today! thank you, @wipehomophobia, @jandjdad, @the_ppm, @kevinponeil et al! couldn't have done it without you!"
1,Today I am grateful for the #reproductiverights that allow so many families to escape poverty.
-1,Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO.
0,thank you for the tweet and for supporting green kids
0,new #livinthebream podcast: which potential trump #scotus pick is raising eyebrows over transgender decision?
1,thank you @governorva and all of you who have fought so hard to protect #reprorights in va. we're all in this together. fight on!
-1,"I get the whole ""Kill your darlings"" advice, but I feel like an abortionist with all these unfinished stories."
0,"the lord gave me a #prophetic #dream for people who are #dating, #married, or desiring #marriage! join me on #periscope to get the word!"
0,when #forgiveness is in ur #marriage ur #children will b #secure. read 3 #principles of
0,"@davesidhu13 tortoise is like a mascot for #scotus, sign of slow progress of law. gift shop once sold mug below, almost as cool as #appellatetwitter mug"
1,I #DenounceHarper for refusing to include family planning in foreign aid even though spending $1 could save $6
-1,i was #lovinglife at @lifecharity roadshow today - engaging with so many people about #pregnancy and life in the womb!!!
-1,#NothingMoreAmericanThan unjustified homicide of the unborn in
0,#heterosexualprideday i'm proud that i can finally come out and say i'm proud to be straight with no one holding me back 🤠
1,.@jeanneshaheen sharply questioned trump's secretary of state nominee about whether he will protect .
-1,mt @amenditusa: we the people end abortion america!
0,what dress will you be wearing? dress
0,"in 2009, #sessions led attacks on #scotus justice #sotomayor during her nomination process for the supreme court. sessions"
0,@manuam1982 @wipehomophobia @duponline totally agree. allies at @elimin8_h8 have also made contact with the campaign in australia
0,happy new year. have a fabulous 2017 - we'll keep campaigning till
-1,mt @marylene58: so beautiful and angelic. please .
-1,@Fungirl3part2 repent wen u commit a grave act like murder of a baby did u #abort ur baby?yes? then YOU repent! #hell s 4 eternity
